Date,V,ADBE,LLY,COST,MRK,ABBV,PG,AMZN,MSFT,AMD,NVDA,HD,XOM,CVX,JPM,TSLA,GOOGL,META,GOOG,AVGO,UNH,MA,AAPL,JNJ,CRM
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,-2.2364048677612587,-2.287057771308811,12.350454647375377,-4.245688383531666,4.990123017369307,3.4247157343138177,0.021766635976374234,-2.272621710755339,-0.09187236253350245,5.362943428578719,3.87387199744754,2.769777654848198,12.867470247199735,8.13363176025742,9.676650543734503,11.156939541536296,1.7472560558949386,-4.499147019288008,2.226537882010497,4.83044270870526,3.2188841201716736,-0.9360090240834393,-0.33228338026561444,1.8338626946884984,-0.935044973638041
2021-01-12,-2.633907063152865,-2.890734516738528,7.50360460435224,-3.0712669205493435,2.453753655697209,3.0798110603726525,-1.1896135059758457,-3.0349462860077367,-1.3630111536919465,2.7918551913397445,0.5968056458458382,3.863935068960209,10.0689679726787,7.28735211251796,11.595701964096975,15.552774650886,-0.15057536256996917,-7.336607297211602,0.3233942716695943,4.973139042603494,3.645593900590933,-1.295262168578561,-1.686887678605933,-0.13262060119668845,-2.708558994347181
2021-01-13,-1.5379499053556174,1.2309387026714569,12.8894789019764,-0.8296786383957045,-0.0485579181532656,6.5069094506937475,-2.0690704048957023,0.8765593877153329,1.9269711839296364,1.6052218740725248,7.2714007561474405,2.4217887997058303,8.540680355224332,3.841867295097664,6.689473848431221,13.020190879180799,1.4144988613121205,-4.4320376275680005,1.1012542034893789,6.052272955662576,-1.1773820798010017,-0.35102899253441056,3.3886263564247066,-1.2137911651010886,0.9391620803232711
2021-01-14,-5.58907304835794,-3.0288444585943646,12.579147548706803,-1.5139180041677163,-2.2018558331950295,4.610625256449099,-2.1966171535375882,-1.097033073319741,-2.4142146574552514,-4.592268367389807,-1.077263169738931,0.781186245015363,11.899471525269739,5.841273078875847,3.9007899037506952,3.548840820824264,-2.447112930807258,-8.595665581657746,-2.6336553765149295,1.957642795060156,-3.9722762645507768,-6.554048372448102,-1.5352845515947426,0.17459549031741936,-1.091838549716402
2021-01-15,-6.433047485111425,-5.569989526135811,14.638543401401396,-2.1030433929699677,0.4215339583573677,3.02973813900093,-2.889253332960998,-2.464888771013257,-3.1736642271501547,-6.735041893909618,-3.142712299927905,2.415548734051818,5.345359335930505,1.1089091859148204,1.9261836751154646,-6.12031732705381,-3.9052697789108186,-6.058230096852837,-3.9298089428069582,0.04712131949007898,-3.327011301387924,-8.644904849582453,-3.7182912144158515,0.16246549395945856,-4.008284167535241
2021-01-19,-5.275022668859633,-3.7407200151146442,6.744107304228099,-2.6208093978141966,-2.129417807059461,2.898554173006709,-3.0830611620057167,0.21032582913483597,-0.48278220848674513,-8.020568690753535,-4.377266862522244,0.722630747221008,4.2698548110263,3.1768599460528657,-0.007250826080204526,4.112474913541868,1.6045234318405301,1.6586239784946364,1.366374697107781,3.0307741726652986,-2.3728336960758836,-6.392880237002904,-0.8916063998898468,2.1396773336172474,-0.6827058387922265
2021-01-20,-1.3645533348592607,-0.4070779041667155,12.561516259357438,-0.7962724648163841,-0.758211301469848,2.58699580876727,-3.735870311540933,4.567696582627444,4.3781714896832735,-6.931628112462524,-0.882480141707382,-0.7346284796948706,3.4461104310217565,2.1855592410166054,-3.0309513357588664,0.1189030140706729,8.209831693382846,6.5275458550652505,8.03584424162101,2.7793208187204717,-1.8272375600966668,-2.3358245223307734,2.507760598608915,2.687661967220961,3.674832039689856
2021-01-21,-2.0109895348106517,-0.006355000545003441,9.083561241787384,-1.1309508859536643,-1.408795768019462,-1.0582435253950628,-4.553402484427997,4.456887746544531,3.9890935697963577,-0.2723905026422743,2.4812001757296436,1.8244846643734405,-0.6402262914428821,-1.3297564222729406,-3.9330274545122856,-1.1025202851645595,7.835161942708173,8.436653862276392,7.800386096759368,3.459590027871711,-0.01126874266532496,-3.4331373521935546,4.568718584631605,2.432070652184943,1.8287678188225402
