Date,V,ADBE,LLY,COST,MRK,ABBV,PG,AMZN,MSFT,AMD,NVDA,HD,XOM,CVX,JPM,TSLA,GOOGL,META,GOOG,AVGO,UNH,MA,AAPL,JNJ,CRM
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,-7.529940206761918e-09,-7.899505356870931e-09,4.322006027715767e-08,-2.208370571357723e-08,-1.1318358954810836e-09,5.789819195238855e-09,-5.723182015768508e-09,7.406722626609401e-10,1.3677474038568387e-09,4.3920707568817795e-10,1.496266340612061e-09,2.8629962217414084e-08,4.391794529777143e-09,7.012594026653798e-09,4.011766785235631e-09,3.027512448293386e-09,3.3479703895644673e-09,2.5161496826327447e-09,4.164182947861431e-09,8.461563096182819e-08,-7.409646895695545e-09,-1.932095301293822e-08,1.0798942772646667e-09,6.288253741973871e-09,5.378885702588499e-09
2021-01-27,-6.6140466039195685e-09,-1.4748445773600902e-08,3.370696685159296e-08,-1.6501638329748866e-08,-3.0616512021445415e-09,-2.930347004489677e-09,-6.872374360630566e-09,4.690285073949287e-11,9.85234402775915e-10,-5.776130965248698e-10,-9.785378018105732e-10,6.933257362509964e-09,1.312197065578157e-09,1.3551179810973972e-09,9.99127016978494e-10,2.14082587900672e-09,5.494683461948384e-10,1.2215940315743824e-10,9.391647461032799e-10,1.7740769832696967e-08,-7.179302494537371e-09,-1.2337384691442535e-08,5.988530083791843e-10,4.240788192829217e-09,1.9259634177917137e-09
2021-01-28,-6.1339183973736e-09,-4.573744500541155e-10,5.104467683780088e-08,-1.5559109645664025e-08,-4.1735466303210425e-09,-1.5204490353658004e-09,-8.48339132136739e-09,5.020536491356293e-10,2.5595137156473926e-09,-6.611960401585061e-10,1.5155757885841072e-09,1.131020694024805e-08,1.3018656295042712e-09,-1.0650530182928408e-09,-7.954211305669547e-10,1.328067949078226e-09,1.3683719578764577e-09,1.6998155555110882e-10,2.0771288002954196e-09,3.645015769950786e-08,-2.1223098146849287e-08,-9.694539237798541e-09,5.809756326999988e-10,6.526377813841485e-09,6.608258885611329e-09
2021-01-29,-4.4719402809721835e-09,-1.2971740294475706e-08,3.024574242472647e-08,-1.6201023081062375e-08,-7.751355483330006e-09,-4.2258439397733394e-09,-9.183668518299048e-09,1.621851431101371e-10,1.4733791059395328e-09,-1.7632971689115191e-09,-9.776204736792444e-10,4.1980898471713114e-09,-6.850462238606203e-11,-3.785208722476572e-09,-3.5785691526707736e-09,-2.627777055375425e-10,6.710410388425309e-10,-1.2746619755884189e-09,8.412210371931068e-10,7.266079460684131e-09,-2.2096157126806284e-08,-1.2580318400621494e-08,4.474807232576941e-11,7.647000487686787e-10,5.3721368057119665e-09
2021-02-01,-6.115501298991653e-09,-1.2183973205926577e-08,4.0997042633037835e-08,-2.2138594441497408e-08,-8.30296048639601e-09,-6.162595848096983e-09,-1.0828306964829028e-08,6.048790465385966e-10,2.7376609207776836e-09,-1.727260680436749e-09,-1.3784304738339723e-10,9.8223881355387e-10,-4.86580383307727e-10,-6.350770967948739e-09,-4.246299418096921e-09,-5.998369466644985e-10,1.3160833133004357e-09,-9.068398066314207e-10,1.6256196271966403e-09,2.780735215928123e-08,-2.677879988651094e-08,-1.8507185291377442e-08,1.489772197516316e-10,1.673126518840008e-09,5.075529796240482e-09
