Date,V,ADBE,LLY,COST,MRK,ABBV,PG,AMZN,MSFT,AMD,NVDA,HD,XOM,CVX,JPM,TSLA,GOOGL,META,GOOG,AVGO,UNH,MA,AAPL,JNJ,CRM
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,214.94842929912465,478.58344312384725,165.61306066222195,373.0650720851053,78.50432329126295,106.14115635618418,138.94369316418894,158.7176521769445,216.81197916567032,92.87687558238893,130.94787263019006,266.42206426317205,44.00583116905083,88.63533510578308,131.23724346602708,265.81532969137834,87.5993314107763,267.1992209312889,88.06008959750115,433.23888821458513,356.5394684541115,350.1119528107505,129.6777627999979,158.7860711677877,219.47222092045067
2021-01-11,213.81384878747858,476.04935303673284,175.36055698067193,369.5825161535454,79.38209399788477,106.80923553746183,138.98024826076474,157.94262934061643,216.68468741185936,93.99178298293235,132.154597760099,268.02263585654,45.01175152982765,89.79583390547207,133.48285864843518,271.02418473349303,87.91044572259285,263.74976945056375,88.43411914357648,437.4606316558067,358.7251087422207,349.4180326950068,129.62198525667145,159.54506898708232,219.0507615735838
2021-01-12,212.5808919932867,473.8394227458734,176.95482881091868,367.3028168888468,79.7678007760635,107.35658801924166,138.7157478479309,157.15943137911825,216.15972413635,94.52740067612112,132.23572820407054,270.14448202925047,46.02735465629673,91.15901814192321,135.94956826653458,276.07748513207673,87.84570728217173,260.239841471727,88.44341151581898,441.32375141565836,360.99865279353287,347.97209317209644,129.24639476190373,159.59229806991897,217.68698232837394
2021-01-13,212.0450445457799,476.0206705305194,180.29856118155925,366.66196795080714,79.76986912219056,109.30041698511288,138.0155359431527,157.43410454081652,217.39115672101636,94.72413371322844,134.59356681546126,271.46428178721914,46.77341691163248,91.91779041981187,138.0614798562095,281.2283514954654,88.25712799786909,258.0461483946188,88.89188493725099,446.6849289510893,360.9669914018836,347.6864907093477,130.3682392039393,159.2297571121499,218.1415494627677
2021-01-14,208.52377839702322,472.2617644333905,182.4325428270162,365.50246050731323,79.40940851408045,110.42910069801633,137.4200499483059,157.10566727292328,216.09694950229527,93.87733843674971,134.46743973131717,271.7351115344159,47.8372557072116,93.08122536134974,139.39407873785373,283.21960021277243,87.8027498776062,253.72963268740233,88.41490665498844,449.07823083590813,357.5468066045801,339.69462729536707,129.96512296136953,159.36899438875568,217.74599097244246
2021-01-15,206.1731379904141,467.0025759547673,185.4208123196514,363.83691541073256,79.46893956047741,110.8752449626102,136.50634809375896,156.25259485743723,214.60547635770135,92.77770142237226,133.75007900374365,273.11817055404265,48.22338256399709,93.30047117634467,139.59970564410162,278.13014097439833,87.00212121822697,251.3210277325679,87.42106901977884,448.9980056444875,354.575786637833,333.348887796314,128.8579774091692,159.41034762969434,215.97368839784255
2021-01-19,204.20216949461346,463.0729149672161,188.27851152221996,360.6803984487871,79.01434496996234,111.40614904657942,135.48116175494002,156.3263522681914,214.52760245698423,91.44743564220146,132.14461741610918,273.46339564049674,48.628060694099645,93.84562532401344,139.53664763520572,281.241750141592,87.41606333333216,252.14704952610478,87.8048108531391,451.7606011367426,352.863942383548,331.03500817251347,128.634915846532,160.175421729768,215.71899422182372
2021-01-20,203.79748073077758,463.0880998532714,192.65070248753625,360.20173419305945,78.88922606369039,111.83649168177959,134.1778429243496,158.2656932210781,216.94335545214034,89.9718846594879,131.82874509725477,273.04875140992687,48.937905813395965,94.20801110018513,138.8212350288307,281.0434883175132,89.72610693732207,255.3978276068013,89.96466236235403,453.9105534422164,351.74665717421715,329.7856585636484,129.33310273706246,160.901726506283,217.69873172059127
2021-01-21,203.23638399929345,463.4179609509641,196.8151558873319,359.65146804009316,78.69644250845245,111.59030856368213,133.13035447178262,159.93687615875797,218.5577215176577,89.86528961933058,132.97067519298056,274.10425425399313,48.879369576006006,93.952253376697,138.02545521752626,280.248770444771,91.1394474240932,258.79577360552935,91.32047200487351,456.6504049523436,352.08484240922525,328.0403169519135,130.81761880802537,161.53709516720812,218.38404820781352
